id,title,price,promo_price,link
3492078,Кукла L.O.L. Surprise! OMG Dance Virtuelle 117865EUC,6999,2899,https://www.detmir.ru/product/index/id/3492078/
3869119,Кукла Barbie Экстра с розовыми косичками GXF09,3999,2389,https://www.detmir.ru/product/index/id/3869119/
4682441,Набор игровой Miraculous Кукла Рина Руж 50004,4429,2569,https://www.detmir.ru/product/index/id/4682441/
3948087,Кукла L.O.L. Surprise! OMG Movie Doll Spirit queen 577928EUC,6999,3719,https://www.detmir.ru/product/index/id/3948087/
3976621,Кукла L.O.L. Surprise! OMG Birthday Doll Miss Celebrate 579755EUC,6999,4480,https://www.detmir.ru/product/index/id/3976621/
3948076,Кукла L.O.L. Surprise! OMG Travel Doll Sunset 576570EUC,6999,4999,https://www.detmir.ru/product/index/id/3948076/
4007945,Кукла Сказочный патруль Кошечки Алиса FPCAT002,2799,2450,https://www.detmir.ru/product/index/id/4007945/
4007974,Кукла Сказочный патруль Волшебный колледж Варя FPVK001,2399,2001,https://www.detmir.ru/product/index/id/4007974/
3496814,Кукла Barbie Педиатр с малышом-пациентом GVK03,2499,1624,https://www.detmir.ru/product/index/id/3496814/
3150300,Кукла Barbie Dreamtopia Фея FXT03,1499,499,https://www.detmir.ru/product/index/id/3150300/
3011286,Набор кукол Demi Star Невеста и жених 99026,1399,799,https://www.detmir.ru/product/index/id/3011286/
3976618,Кукла L.O.L. Surprise! Tweens-Lexi Gurl 579601EUC,3999,2711,https://www.detmir.ru/product/index/id/3976618/
3749011,Кукла Disney Frozen Эльза F11145L0,4999,3999,https://www.detmir.ru/product/index/id/3749011/
3492105,Кукла Rainbow High Fashion Белла Паркер 570738EUC,4999,3348,https://www.detmir.ru/product/index/id/3492105/
4480836,Кукла Barbie стильная с каштановыми волосами HCB75,13999,10199,https://www.detmir.ru/product/index/id/4480836/
3345313,Набор игровой Barbie Кем быть Кофейня GMW03,4399,3223,https://www.detmir.ru/product/index/id/3345313/
3749017,Кукла Disney Frozen Холодное сердце 2 Анна F07975X0,1399,1199,https://www.detmir.ru/product/index/id/3749017/
3227016,Набор игровой Disney Princess Hasbro Холодное сердце 2 Нокк и Эльза E5516EU6,3999,3299,https://www.detmir.ru/product/index/id/3227016/
3491189,Кукла Disney Frozen Холодное Сердце 2 Морская Эльза F05945L0,2799,1899,https://www.detmir.ru/product/index/id/3491189/
3091371,Набор Demi Star На отдыхе 99055,1199,699,https://www.detmir.ru/product/index/id/3091371/
3496812,Набор игровой Barbie 2куклы +3питомца GTM82,2999,1967,https://www.detmir.ru/product/index/id/3496812/
3491185,Кукла Disney Frozen Холодное Сердце 2 Королева Эльза F1411ES0,1899,1299,https://www.detmir.ru/product/index/id/3491185/
3737447,Кукла Demi Star в платье единорог Розовое 99666-1,499,349,https://www.detmir.ru/product/index/id/3737447/
3011291,Набор с модельной куклой Demi Star Модница,1799,1099,https://www.detmir.ru/product/index/id/3011291/
4480837,Кукла Barbie Looks c высоким хвостом HCB77,3499,2570,https://www.detmir.ru/product/index/id/4480837/
3491103,Кукла Disney Princess Hasbro Жасмин F0902ES2,1299,999,https://www.detmir.ru/product/index/id/3491103/
3257743,Кукла Barbie Загадочные профессии Брюнетка GLH64,2599,1791,https://www.detmir.ru/product/index/id/3257743/
4007946,Кукла Сказочный патруль Кошечки Снежка FPCAT003,2799,2020,https://www.detmir.ru/product/index/id/4007946/
